vulnerability_id,contextual_risk_score,priority_label,risk_level,key_risk_drivers,confidence_level
CVE-2025-7783,30.4,P2,High,"[""CVSS score of 9.4 (Critical) — 'Predictable Value Range from Previous Values' weakness in form-data 2.3.3 (npm) could allow attackers to predict security-sensitive values, undermining cryptographic or session-management controls"", 'Vulnerability exists in the shared library push-shared-configs (asset-push-016), which is a transitive dependency of mission-critical services push-api and push-registrar (both high revenue impact, PII-handling), and critical service push-admin — amplifying blast radius significantly', 'Production asset asset-push-004 (push-campaign-api) is exposed on the partner-network with confidential data classification and handles PII, providing a reachable attack surface for external partners', 'Blast radius extends to 6 distinct services across 3 assets, including 2 mission-critical services (push-api, push-registrar) reachable within 2 hops via the shared-configs dependency chain', 'Low exploit likelihood mitigates urgency: EPSS is 0.45%, not listed in CISA KEV, and no public exploit is available — reducing the probability of near-term active exploitation', 'Third affected asset (asset-push-018, push-cli-tool) is in dev environment with internal exposure only, contributing minimal additional risk']",0.82
CVE-2023-26136,31.8,P2,High,"['Critical CVSS 9.8 (Prototype Pollution in tough-cookie 2.5.0, npm) provides a high intrinsic severity baseline; prototype pollution can lead to denial-of-service, authentication bypass, or remote code execution depending on application usage patterns.', 'Production deployment exposure: the vulnerable package is installed on asset-push-004 (prod, partner-network exposure, confidential data classification, tier: important), directly placing a critical-severity vulnerability on a partner-facing production runtime host.', 'PII-handling service at risk: asset-push-004 hosts push-campaign-api (criticality: important, revenue_impact: medium, handles_pii: true), a Lambda integration for Salesforce Marketing Cloud that validates parameters and queues notifications, making it a sensitive data processing endpoint.', 'Significant blast radius via shared library: asset-push-016 (prod) hosts push-shared-configs, a shared npm library consumed by mission-critical services including push-api (mission-critical, high revenue, PII) and push-registrar (mission-critical, high revenue, PII) at 1-2 hops, as well as push-admin (critical). Prototype pollution in a shared config library could propagate malicious property injection to all consumers.', ""push-campaign-api's dependency chain extends to push-queue-worker (important) → push-legacy-worker (important) → push-shared-common, and push-infra-external-api (important, PII, manages API Gateway/Lambda/VPC), increasing the downstream footprint of a potential compromise."", 'Moderate exploit likelihood: EPSS score of 0.06423 (6.4%) places this vulnerability above the median exploitation probability, though no CISA KEV listing and no confirmed public exploit exist, tempering immediate urgency.', 'Third affected asset (asset-push-018, dev environment, internal, push-cli-tool) carries minimal risk but confirms the package is present across multiple environments, indicating broad adoption of the vulnerable dependency.']",0.87
CVE-2026-39983,16.3,P3,Low,[],0.92
CVE-2026-4800,15.8,P3,Low,"['HIGH CVSS (9.8) — Arbitrary Code Injection in lodash 4.17.21 indicates a severe intrinsic vulnerability with potential for full remote code execution.', ""STRONG MITIGATING CONTEXT — The affected asset (asset-push-019) is a dev-environment, internally-networked CI/CD tool (push-deploy-stackman) with 'internal' data classification and 'supporting' tier, dramatically reducing real-world exploitability."", 'NEGLIGIBLE EXPLOIT LIKELIHOOD — EPSS score of 0.00038 (bottom percentile), not listed on CISA KEV, and no known public exploit available. No active threat intelligence signals detected.', ""LOW BUSINESS CRITICALITY — The hosting service has 'supporting' criticality, 'low' revenue impact, and does not handle PII. Compromise would not directly impact revenue-generating or customer-facing operations."", 'MINIMAL BLAST RADIUS — The vulnerable package is installed on only 1 asset. The service (push-deploy-stackman) has zero upstream or downstream service dependencies in the graph, meaning compromise is isolated. However, its role as a CloudFormation deployment helper in the CI/CD pipeline warrants monitoring for potential supply-chain escalation paths.']",0.88
CVE-2023-25344,15.8,P3,Low,"['High intrinsic CVSS score of 9.8 (Arbitrary Code Execution) in swig-templates v2.0.3 npm package drives the raw severity, but all contextual factors substantially attenuate the real-world risk.', ""Deployment Exposure is minimal: the affected asset (asset-push-019) resides in a 'dev' environment with 'internal' network exposure and 'internal' data classification, meaning it is not internet-facing and does not process sensitive data. (S_exp = 2.0/10)"", ""Business Criticality is very low: the hosting service 'push-deploy-stackman' is classified as 'supporting' criticality with 'low' revenue impact and does not handle PII. It is a CloudFormation deployment helper in the CI/CD pipeline. (S_crit = 1.5/10)"", 'Exploit Likelihood is very low: EPSS is 0.0041 (0.41%), the CVE is NOT listed in CISA KEV, and no public exploit is available—indicating minimal real-world exploitation activity. (S_exploit = 1.0/10)', 'Blast Radius is negligible: the service has zero upstream or downstream service dependencies in the graph, the vulnerable package is installed on only one asset, and that asset hosts only one service, resulting in a fully isolated impact zone. (S_blast = 1.0/10)', 'Score breakdown — S_cvss: 9.8 + S_exp: 2.0 + S_crit: 1.5 + S_exploit: 1.0 + S_blast: 1.0 = 15.3/50, normalized to 3.1/10.']",0.85
CVE-2026-27699,14.3,P4,Low,[],0.92
CVE-2021-44906,15.8,P4,Low,"['CVSS is critically high at 9.8 (Prototype Pollution in minimist 0.0.10, npm ecosystem), contributing S_cvss=9.8/10, but contextual factors dramatically reduce actual risk.', ""Deployment Exposure is very low (S_exp=2.0/10): asset 'asset-push-019' is in a 'dev' environment, has 'internal' network exposure (not internet-facing), and carries 'internal' data classification. Dev environments are lowest priority for remediation."", ""Business Criticality is minimal (S_crit=1.5/10): the affected service 'push-deploy-stackman' is a CloudFormation deployment helper in the CI/CD pipeline, rated 'supporting' criticality with 'low' revenue impact and does NOT handle PII. The asset tier is 'supporting'."", 'Exploit Likelihood is very low (S_exploit=1.5/10): EPSS score is only 0.00882 (<1% probability of exploitation in the wild), the vulnerability is NOT listed in CISA KEV, and there is NO known public exploit available.', ""Blast Radius is negligible (S_blast=1.0/10): the vulnerable package 'minimist@0.0.10' is installed on only 1 asset. The hosted service 'push-deploy-stackman' has ZERO upstream or downstream service dependencies, meaning compromise would not cascade to other services."", 'Aggregate formula: S_priority = S_cvss(9.8) + S_exp(2.0) + S_crit(1.5) + S_exploit(1.5) + S_blast(1.0) = 15.8/50, normalized to 3.16/10.']",0.92
CVE-2026-27459,13.3,P4,Low,[],1
CVE-2026-1615,15.5,P3,Low,[],0.93
CVE-2025-15284,36.5,P2,HIGH,"[""High intrinsic severity (CVSS 8.7) — CWE-770 resource exhaustion in the 'qs' npm query-string parser directly exploitable on HTTP endpoints"", 'Wide production deployment across 17 assets (9 production, 6 staging, 1 dev) with 3 internet-facing production hosts (push-api-prod, push-registrar-prod, push-legacy-api-prod) processing confidential and regulated data', 'Mission-critical services directly affected — push-api and push-registrar both handle PII with high revenue impact and are classified mission-critical', 'Massive blast radius via push-shared-common — a shared npm library consumed by every service in the push platform (push-api, push-registrar, push-legacy-api, push-admin, push-campaign-api, push-gdpr-worker, push-queue-worker, push-legacy-worker, push-status-worker), meaning a single vulnerable package propagates risk to the entire push notification platform', 'GDPR-regulated processing at risk — push-gdpr-worker handles deletion requests on regulated data under audit, and runs the vulnerable qs@6.11.2 package', 'Low current exploit likelihood is the primary mitigating factor — EPSS is 0.00072 (bottom percentile), not on KEV, and no public exploit exists, preventing escalation to P1']",0.92
