vulnerability_id,contextual_risk_score,priority_label,risk_level,key_risk_drivers,confidence_level
CVE-2025-7783,37.9,P1,Critical,"[""S_cvss(v)=9.4/10 — From graph: Vulnerability node {name: 'CVE-2025-7783', cvss: 9.4, description: 'Predictable Value Range from Previous Values'}. This is an intrinsically high-severity flaw (likely strong impact on confidentiality/integrity given the CVSS)."", ""S_exp(v)=8.5/10 — Deployment exposure from graph: CVE-2025-7783 EXISTS_IN npm package 'form-data' 2.3.3, which is INSTALLED_ON three assets:\n- asset-push-004 (prod, runtime-host, network_exposure='partner-network', data_classification='confidential', tier='important') hosting Service 'push-campaign-api' (criticality='important', handles_pii=true, revenue_impact='medium') — externally reachable by partners and processes PII.\n- asset-push-016 (prod, npm-internal-library, network_exposure='internal', data_classification='internal') hosting Service 'push-shared-configs' (supporting, low revenue, no PII) — used by multiple higher-criticality services.\n- asset-push-018 (dev, internal, developer-cli) hosting 'push-cli-tool' (supporting, no PII) — low exposure.\nHighest practical exposure is the partner-network, prod, confidential, PII-handling instance; additionally, the vulnerable shared-configs library is likely invoked within internet-facing services that depend on it. Normalized exposure score set high at 8.5."", 'S_crit(v)=9.0/10 — Business criticality from hosted and dependent services:\n- Directly affected services:\n  • \'push-campaign-api\' (important, PII=true, revenue_impact=\'medium\') is an external integration for Salesforce Marketing Cloud; outage or compromise would directly affect partner campaigns and PII.\n  • \'push-shared-configs\' (supporting, low revenue, no PII) but documentation says: ""Shared configuration helper npm library consumed by push-service apps."" It is depended on by:\n      - \'push-api\' (mission-critical, revenue_impact=\'high\', handles_pii=true, internet-facing prod host asset-push-001 with data_classification=\'confidential\', network_exposure=\'internet-facing\').\n      - \'push-campaign-api\' (important, PII=true, medium revenue).\n      - \'push-admin\' (critical administration API, internal host asset-push-005, tier=\'critical\').\n- Effective business impact includes core push notification revenue flows and tenant/product administration plus PII processing. This justifies a very high criticality score of 9.0.', ""S_exploit(v)=2.0/10 — Exploit likelihood from ThreatSignal:\n- MATCH (v)-[:HAS]->(t:ThreatSignal) yields t {cve:'CVE-2025-7783', epss:0.00449, kevListed:false, publicExploit:false}.\n- EPSS ≈0.45% is low; there is no KEV listing and no known public exploit in the graph.\n- Despite high intrinsic severity, current data suggests low near-term exploitation probability in the wild, so S_exploit is set to 2.0 (slightly above minimum to reflect that a high-impact bug could still attract future exploitation)."", 'S_blast(v)=9.0/10 — Blast radius from service dependency graph:\n- Directly affected services: \'push-campaign-api\', \'push-shared-configs\', \'push-cli-tool\'.\n- Downstream dependencies from \'push-campaign-api\': DEPENDS_ON -> \'push-queue-worker\', \'push-shared-common\', \'push-shared-configs\', \'push-infra-external-api\' (all prod, with \'push-queue-worker\' important/medium revenue and \'push-infra-external-api\' important, PII=true, confidential, partner-network).\n- Upstream dependencies on \'push-shared-configs\': \'push-api\' (mission-critical, internet-facing, PII=true, high revenue), \'push-campaign-api\' (important, PII=true), and \'push-admin\' (critical admin API). The shared-configs library is explicitly described as consumed by ""every push-service module"", indicating a cross-cutting dependency.\n- A compromise in this vulnerable library or in the partner-facing API where it runs could cascade across mission-critical, internet-facing and PII-processing services, causing wide operational and security impact. This warrants a blast-radius score of 9.0.', ""Integrated judgment: S_priority(v) = S_cvss 9.4 + S_exp 8.5 + S_crit 9.0 + S_exploit 2.0 + S_blast 9.0 = 37.9 out of 50. Given the concentration of risk on production, PII-handling, revenue-generating, and internet/partner-exposed services ('push-api', 'push-campaign-api', associated infra), CVE-2025-7783 is prioritized as P1 (immediate action) despite currently low exploit intelligence. Assumption: the vulnerable npm package 'form-data' in 'push-shared-configs' is effectively part of the runtime of dependent services (as suggested by the library’s documentation); if in reality these services vendor a different version, actual risk would be somewhat lower.""]",0.85
CVE-2023-26136,36.3,P2,High,"['Score breakdown (0–10 each, max 50): S_cvss=9.8, S_exp=8.0, S_crit=8.0, S_exploit=2.0, S_blast=8.5 → S_priority=36.3/50.', 'Vulnerability severity (S_cvss=9.8): Graph shows CVSS 9.8 with description “Prototype Pollution”, in npm package tough-cookie 2.5.0. This is mapped directly to 9.8/10 on our 0–10 scale due to critical remote impact potential.', 'Deployment exposure (S_exp=8.0): tough-cookie 2.5.0 is installed on three distinct assets:\n- asset-push-004 (prod, aws, kind=runtime-host, network_exposure=partner-network, data_classification=confidential, tier=important).\n- asset-push-016 (prod, aws, kind=npm-internal-library, network_exposure=internal, data_classification=internal, tier=supporting).\n- asset-push-018 (dev, aws, kind=developer-cli, network_exposure=internal, data_classification=internal, tier=supporting).\nHigh exposure is driven mainly by the prod runtime host in a partner-facing network handling confidential data. Internal prod library and dev CLI increase spread but less so exposure, giving an overall high (but not max) exposure score.', 'Business criticality (S_crit=8.0): Affected services include:\n- push-campaign-api on asset-push-004: criticality=important, revenue_impact=medium, handles_pii=true. This is a partner-facing external API used by Salesforce Marketing Cloud to deliver client messages, directly tied to customer communications and PII.\n- push-shared-configs (supporting, low revenue_impact, no PII) and push-cli-tool (supporting, low revenue_impact, no PII) are less critical.\nThe presence of the vulnerability in a PII-handling, partner-facing, important service drives an overall high criticality score.', 'Exploit likelihood (S_exploit=2.0): ThreatSignal node for CVE-2023-26136 shows epss=0.06423, kevListed=false, publicExploit=false. EPSS ~6.4% indicates some likelihood but not elevated; absence of KEV listing and public exploit keeps this low. On a 0–10 scale, this maps to a low-but-nonzero likelihood score of 2.0.', 'Blast radius (S_blast=8.5): Service dependency graph shows push-campaign-api (important, PII) DEPENDS_ON multiple services:\n- push-queue-worker (criticality=important, revenue_impact=medium).\n- push-infra-external-api (criticality=important, handles_pii=true, revenue_impact=medium).\n- push-shared-common (criticality=supporting) and push-shared-configs (supporting) which, by description, are shared libraries across push-service modules.\nCompromise of tough-cookie within push-campaign-api could impact downstream workers and infra that process or route campaign traffic and PII. Additionally, presence of tough-cookie in a shared internal library asset (npm-internal-library) suggests potential horizontal spread across multiple push-service applications, increasing blast radius. These factors justify a high blast radius score.', 'Overall contextual judgment: Despite relatively low current exploit intelligence, CVSS is critical, the vulnerability sits in a partner-facing prod API handling confidential/PII data, and that API has important downstream and shared-library dependencies. Using our 0–50 composite scale, 30–40 maps to High risk; the 36.3 score places this vulnerability in the upper end of High. Given low exploit likelihood but high impact if exploited, this is prioritized as P2 (near-term remediation) rather than P1. Recommended handling: plan and execute remediation promptly (e.g., upgrade tough-cookie in affected services and shared libraries) and monitor threat intel for any change in EPSS, KEV, or exploit availability.']",0.86
CVE-2026-39983,17.8,P3,Medium,"['S_cvss(v) = 9.8/10 — CRLF Injection vulnerability with critical intrinsic severity in package `basic-ftp` (npm, v5.0.5).', ""S_exp(v) ≈ 3/10 — Vulnerable package is only present on a single asset `asset-push-019` (AWS, kind=ci-tool) with `network_exposure='internal'`, `environment='dev'`, `data_classification='internal'`, `tier='supporting'`. No direct internet exposure and non-production environment materially reduce exposure."", ""S_crit(v) ≈ 2/10 — The affected service `push-deploy-stackman` has `criticality='supporting'`, `revenue_impact='low'`, and `handles_pii=false`. Business impact is limited to CI/CD helper workflows for push-service stacks, with no direct customer or PII processing."", 'S_exploit(v) ≈ 1/10 — ThreatSignal for CVE-2026-39983 shows `epss=0.01844` (low exploit probability), `kevListed=false`, and `publicExploit=false`. Lack of KEV listing and public exploits significantly lowers near-term exploitation likelihood.', 'S_blast(v) ≈ 2/10 — Graph shows the affected service has no `DEPENDS_ON` downstream services and no upstream services depending on it. Only a single dev CI asset is involved, with no fan-out across multiple services or shared components. Blast radius is therefore small, though compromise could still perturb CI-driven stack deployments.', 'Scoring summary — S_priority(v) = S_cvss(9.8) + S_exp(3) + S_crit(2) + S_exploit(1) + S_blast(2) ≈ 17.8/50 → Contextual risk level: Medium; Priority label: P3 (schedule remediation in normal patch cycle, monitor for any change in EPSS/KEV/exploit status).']",0.84
CVE-2026-4800,20.8,P3,Moderate,"[""Context summary: CVE-2026-4800 (Arbitrary Code Injection) affects npm package lodash 4.17.21, installed only on asset 'asset-push-019' (AWS, internal, dev, CI tool) which hosts service 'push-deploy-stackman' (supporting criticality, low revenue impact, no PII, CI/CD CloudFormation helper for push-service stacks). No dependent or depending services were found. One ThreatSignal exists with very low EPSS and no known exploits/KEV listing."", ""S_cvss(v) = 9.8 / 10 — From graph: v.cvss = 9.8 and description 'Arbitrary Code Injection' indicate an intrinsically critical vulnerability (remote code execution potential). This strongly drives the base risk upward regardless of environment."", ""S_exp(v) ≈ 4 / 10 — Deployment Exposure: asset 'asset-push-019' is:\n- environment = 'dev' (lower exposure than staging/prod)\n- network_exposure = 'internal' (not internet-facing)\n- data_classification = 'internal' (no sensitive/regulated data)\nThese factors would suggest very low exposure (≈2–3), but the asset is a 'ci-tool' used in a CI/CD pipeline for AWS stack deployments, which slightly raises exposure because compromise can affect deployed infrastructure indirectly. Normalized exposure score set to ~4/10."", ""S_crit(v) ≈ 3 / 10 — Business Criticality from service node 'push-deploy-stackman':\n- criticality = 'supporting'\n- revenue_impact = 'low'\n- handles_pii = false\nThe service underpins deployment workflows but is not itself revenue-critical or PII-handling. This yields a low-to-moderate business criticality score, normalized as ~3/10."", 'S_exploit(v) ≈ 1 / 10 — Exploit Likelihood from ThreatSignal:\n- epss = 0.00038 (very low probability of exploitation)\n- kevListed = false (not in Known Exploited Vulnerabilities)\n- publicExploit = false (no public exploit known in this graph)\nMapping EPSS≈0.00038 to a 0–10 scale and applying no boosts for KEV/public exploit gives an exploitability score near zero; rounded conservatively to ~1/10 to reflect some non-zero residual risk.', ""S_blast(v) ≈ 3 / 10 — Blast Radius assessment:\n- Vulnerable package lodash 4.17.21 appears on a single asset ('asset-push-019') in this graph query.\n- That asset hosts a single service ('push-deploy-stackman').\n- Additional query for service dependencies (DEPENDS_ON*1..3) returned no related services (dep/path = null), indicating no modeled upstream/downstream service dependency chain.\nDirect blast radius within the modeled environment is therefore small. However, because the affected service is a CI/CD CloudFormation helper that manages push-service AWS stacks, a successful compromise could indirectly impact multiple infrastructure stacks, giving a modest but non-negligible effective blast radius. Normalized as ~3/10."", 'Score aggregation and interpretation:\n- S_cvss(v) = 9.8\n- S_exp(v) ≈ 4\n- S_crit(v) ≈ 3\n- S_exploit(v) ≈ 1\n- S_blast(v) ≈ 3\n=> S_priority(v) = 9.8 + 4 + 3 + 1 + 3 = 20.8 (out of a theoretical max of 50).\nUsing an internal scale (≈0–15 Low, 15–30 Moderate, 30–40 High, 40–50 Critical), CVE-2026-4800 in this specific enterprise context is **Moderate risk** overall, dominated by very high intrinsic severity but meaningfully reduced by low exploit likelihood, dev/internal deployment, and limited modeled blast radius.', 'Resulting priority label rationale: With S_priority ≈ 20.8 and the vulnerability present only in a single internal dev CI asset and a supporting, low-revenue, non-PII service, but with critical inherent severity, the issue warrants **P3 (scheduled remediation)** — it should be fixed in the normal remediation cycle (e.g., upcoming sprint or next CI image update), but does not require immediate emergency action absent new threat intelligence (e.g., KEV listing or public exploit emergence).']",0.85
CVE-2023-25344,16.8,P4,Low,"[""Intrinsic severity S_cvss=9.8/10: Vulnerability node shows CVSS 9.8 with description 'Arbitrary Code Execution', indicating a highly severe, likely remotely exploitable code execution flaw in swig-templates 2.0.3."", ""Deployment exposure S_exp≈2/10: The affected package swig-templates 2.0.3 is installed only on asset 'asset-push-019' (hostname push-deploy-stackman-dev-019.push.internal), which is an internal, dev-environment CI tool host (environment='dev', network_exposure='internal', data_classification='internal'). No internet-facing exposure is indicated in the graph."", ""Business criticality S_crit≈2/10: The asset tier is 'supporting', and it hosts a single service 'push-deploy-stackman' with service.criticality='supporting', revenue_impact='low', handles_pii=false. The service is a CI/CD CloudFormation deployment helper for push-service AWS stacks, but in this graph it is classified as low revenue impact and non-PII, and runs in dev, so direct business impact from compromise is limited in this modeled environment."", 'Exploit likelihood S_exploit≈1/10: ThreatSignal for CVE-2023-25344 shows epss=0.0041, kevListed=false, publicExploit=false. This combination indicates a low current probability of exploitation in the wild for this environment.', ""Blast radius S_blast≈2/10: The vulnerable package is present on a single asset and a single service. Dependency analysis shows no outgoing or incoming Service-[:DEPENDS_ON]->Service relationships for 'push-deploy-stackman' (no multi-hop dependency paths within 3 hops), suggesting minimal service interdependencies and a contained blast radius in the modeled system."", 'Overall contextual judgment: Despite very high intrinsic severity, the vulnerability is currently confined to an internal, dev, supporting-tier CI helper with low revenue impact, no PII, low EPSS, and no KEV/public exploit signals. In this specific enterprise context, the real-world risk is low, so remediation can be scheduled in backlog/regular patch cycles rather than requiring immediate emergency action, while verifying out-of-band whether this dev CI tooling can influence production environments (not modeled in the graph).']",0.8
CVE-2026-27699,16.0,P4,Low,"['Score breakdown (0–10 each, max 50): S_cvss=9.8, S_exp=2, S_crit=3, S_exploit=0.2, S_blast=1 → S_priority=16.0', 'Vulnerability severity (S_cvss=9.8): Graph shows CVSS 9.8 with description ""Directory Traversal"" on npm package basic-ftp 5.0.5, indicating a critical intrinsic issue in the library itself.', 'Deployment exposure (S_exp=2): basic-ftp@5.0.5 is installed only on a single asset (asset-push-019), which is an internal, dev-environment CI tool host (`environment: dev`, `network_exposure: internal`, `data_classification: internal`, `tier: supporting`). No internet-facing or production deployment is present in the graph, so real-world exposure is low but non-zero (internal lateral movement risk).', 'Business criticality (S_crit=3): The affected service `push-deploy-stackman` is marked `criticality: supporting`, `revenue_impact: low`, `handles_pii: false`. It is a CloudFormation deployment helper used in the CI/CD pipeline for push-service AWS stacks, so compromise could disrupt internal deployments but is unlikely to cause direct, immediate revenue or PII impact.', 'Exploit likelihood (S_exploit=0.2): ThreatSignal shows EPSS=0.00152, `kevListed: false`, `publicExploit: false`. This indicates very low current exploit probability, with no known exploitation in the wild or KEV listing, thus a near-minimal exploitability score.', 'Blast radius (S_blast=1): Graph traversal shows basic-ftp@5.0.5 only on one dev CI asset hosting a single service (`push-deploy-stackman`). Dependency analysis shows no other services depending on this service and no downstream services it depends on (no `DEPENDS_ON` edges in either direction). This suggests exploitation would be largely contained to that dev CI helper, giving a very small blast radius in the modeled environment.', 'Assumptions and data limits: Assessment is based solely on the knowledge graph: one Vulnerability node for CVE-2026-27699, one npm package instance (basic-ftp 5.0.5), one internal dev CI asset and one supporting, non-PII, low-revenue-impact service with no modeled dependencies. There may be additional undiscovered installations or business processes not represented in the graph; those would increase exposure and criticality if present.']",0.82
CVE-2021-44906,18.8,P3,Moderate,"['Score breakdown (0–10 each): S_cvss=9.8, S_exp=3, S_crit=2, S_exploit=2, S_blast=2 → S_priority=18.8/50.', 'Vulnerability severity (S_cvss=9.8): Graph shows CVSS 9.8, description “Prototype Pollution” in npm package minimist@0.0.10, so intrinsically critical if reachable.', 'Deployment exposure (S_exp=3): Package is installed only on a single Asset `asset-push-019` with environment=dev, network_exposure=internal, data_classification=internal, tier=supporting. This indicates a non‑internet‑facing, internal dev/CI context with limited direct exposure.', 'Business criticality (S_crit=2): The affected asset hosts Service `push-deploy-stackman` with criticality=supporting, revenue_impact=low, handles_pii=false. Both asset tier and service role are supporting and non‑PII, so direct business impact is low.', 'Exploit likelihood (S_exploit=2): ThreatSignal node for CVE-2021-44906 has epss=0.00882 (very low likelihood), kevListed=false, publicExploit=false. This indicates currently low observed exploitation pressure despite the high intrinsic severity.', 'Blast radius (S_blast=2): The only affected service `push-deploy-stackman` has 0 downstream dependencies and 0 upstream dependents in the service graph. With a single internal dev CI asset and no modeled service interdependencies, the modeled blast radius is small.', 'Contextual judgment: Despite critical CVSS, in this enterprise graph the vulnerability is confined to one internal dev CI asset running a supporting, low‑revenue, non‑PII service with no service dependencies and low exploit intel signal. This justifies a contextual priority of P3 (scheduled remediation) rather than immediate P1/P2 emergency response, while still planning to upgrade or patch minimist in this CI context.']",0.9
CVE-2026-27459,16.8,P4,Low,"['High intrinsic severity: CVSS 9.8 buffer overflow in pyopenssl 24.1.0', 'Vulnerable package only present on a single AWS dev asset (asset-push-021) with internal network exposure', 'Impacts a non-production, supporting build/developer service: push-build-deps-dev (""Not deployed"", low revenue impact, no PII)', 'Very low exploit likelihood: EPSS 0.00026, not KEV-listed, no public exploit observed', 'Minimal blast radius: no downstream service dependencies from push-build-deps-dev and limited to dev toolchain']",0.9
CVE-2026-1615,22.8,P3,"Moderate contextual risk in current deployment (dev-only CI/CD helper, high intrinsic severity, low current exploit pressure)","['Score breakdown (0–10 each, higher=worse): S_cvss=9.8, S_exp=4, S_crit=4, S_exploit=1, S_blast=4 → S_priority=22.8/50.', 'Graph evidence – vulnerability & package: CVE-2026-1615 node has cvss=9.8 and description “Arbitrary Code Injection”; it EXISTS_IN npm package jsonpath 1.1.1 (spdx_id=SPDXRef-jsonpath-1-1-1).', 'Deployment exposure (S_exp≈4/10): jsonpath@1.1.1 is INSTALLED_ON a single asset asset-push-019 (hostname push-deploy-stackman-dev-019.push.internal) with environment=dev, network_exposure=internal, data_classification=internal, tier=supporting, kind=ci-tool. No Internet-facing or production assets are currently linked, which limits exposure but CI tooling still has some risk weight.', 'Business criticality (S_crit≈4/10): The affected asset hosts Service push-deploy-stackman with criticality=""supporting"", revenue_impact=""low"", handles_pii=false. However, its description and documentation both state it is a “CloudFormation deployment helper (stackman) executed in the CI/CD pipeline to manage push-service AWS stacks,” so compromise could affect infrastructure deployment for push-service even though it is not a core revenue/PII system.', 'Exploit likelihood (S_exploit≈1/10): ThreatSignal for CVE-2026-1615 shows epss=0.00107 (very low probability), kevListed=false (not in CISA KEV), publicExploit=false. Current external pressure and exploitation likelihood appear low despite the high intrinsic severity.', 'Blast radius (S_blast≈4/10): Service graph shows push-deploy-stackman has no recorded DEPENDS_ON edges to or from other services (no upstream or downstream services in the knowledge graph). That limits direct service-to-service propagation. Nonetheless, because the service runs in CI/CD for AWS stacks, a successful arbitrary code injection could indirectly impact multiple cloud stacks managed by this tooling, giving it a modest blast-radius score rather than minimal.', 'Contextual interpretation: High-severity arbitrary code injection in a widely used npm package, but currently only observed on one internal dev CI asset, supporting a low-revenue, non-PII service, with low exploit intelligence. This justifies a P3 (scheduled remediation): it should be fixed in a planned window (especially in CI pipelines) but does not demand immediate emergency response given current graph evidence.']",0.78
CVE-2025-15284,37.2,P2,High,"[""Severity S_cvss = 8.7/10: Graph shows Vulnerability{name: 'CVE-2025-15284', cvss: 8.7, description: 'Allocation of Resources Without Limits or Throttling'} in npm package 'qs' (versions 6.11.2 and 6.5.3), implying high-impact resource-exhaustion/DoS potential across services that parse untrusted input."", ""Exposure S_exp ≈ 9.5/10: Vulnerable 'qs' is installed on multiple production, internet-facing or partner-exposed assets with confidential/regulated data, e.g. asset-push-001 (push-api, environment='prod', network_exposure='internet-facing', data_classification='confidential', tier='mission-critical'), asset-push-002 (push-registrar, same attributes), asset-push-003 (push-legacy-api, internet-facing), and asset-push-004 (push-campaign-api, network_exposure='partner-network')."", ""Business Criticality S_crit ≈ 9.5/10: Affected services include mission-critical, high-revenue, PII-handling components: 'push-api' and 'push-registrar' (criticality='mission-critical', revenue_impact='high', handles_pii=true, data_classification='confidential'), and 'push-gdpr-worker' (criticality='critical', data_classification='regulated', handles_pii=true) that underpin customer communications and regulatory compliance."", 'Exploit Likelihood S_exploit ≈ 0.5/10: ThreatSignal linked via (Vulnerability)-[:HAS]->(ThreatSignal) shows epss=0.00072, kevListed=false, publicExploit=false. This indicates very low current exploitation in the wild and no KEV/public-exploit signal, so likelihood is low despite high intrinsic severity.', 'Blast Radius S_blast ≈ 9/10: The vulnerability exists in \'qs\' used directly on many services and via the \'push-shared-common\' library, which is ""consumed by every push-service module"". The dependency graph (Service-[:DEPENDS_ON]->Service) shows vulnerable front-line services (push-api, push-registrar, push-legacy-api, push-campaign-api) and internal workers (push-queue-worker, push-gdpr-worker, push-legacy-worker, push-status-worker) all interconnected and depending on shared storage/infra like \'push-infra-storage\' (critical, handles_pii=true, revenue_impact=\'high\'), so a parsing-based resource exhaustion bug can degrade a large portion of the push platform simultaneously.', 'Integrated Priority: S_priority = 8.7 (severity) + 9.5 (exposure) + 9.5 (business criticality) + 0.5 (exploit likelihood) + 9 (blast radius) ≈ 37.2 / 50. Given high business impact and wide blast radius but currently low exploit likelihood/KEV presence, contextual risk is assessed as High with a remediation priority of P2 (near-term remediation rather than immediate emergency).']",0.9
