vulnerability_id,contextual_risk_score,priority_label,risk_level,key_risk_drivers,confidence_level
CVE-2025-7783,30.4,P2,Medium-High,"['Critical CVSS score (9.4)', 'Affects production systems with confidential data', 'Critical service handles PII', 'Partner network exposure', 'Moderate dependency chain affecting 7 services']",0.85
CVE-2023-26136,40.3,P1,HIGH,"['Critical CVSS 9.8 vulnerability (Prototype Pollution)', 'Production deployment with partner-network exposure', 'PII-handling service affected (push-campaign-api)', 'Shared configuration service vulnerability affecting multiple dependent services', 'Moderate exploit probability (6.4% EPSS)']",0.95
CVE-2026-39983,18.8,P3,Medium,"['Critical CVSS 9.8 severity', 'CRLF injection vulnerability', 'Affects CI/CD infrastructure', 'Single asset in dev environment']",0.85
CVE-2026-4800,17.8,P3,Medium,"['Critical CVSS score (9.8) for arbitrary code injection', 'Exists in widely used npm package (lodash)', 'Affects CI/CD pipeline tool impacting deployment processes']",0.9
CVE-2023-25344,15.8,P4,Low,"['High CVSS score (9.8) but limited to dev environment', 'Internal-only network exposure', 'Low business criticality (supporting CI/CD tool)', 'No public exploits or KEV listing', 'Minimal blast radius (single asset)']",0.95
CVE-2026-27699,17.8,P3,Medium,"['High CVSS severity (9.8 - Directory Traversal)', 'Limited to development environment with internal network exposure', 'Low business impact service (CI/CD deployment helper)', 'Very low exploit probability (EPSS 0.152%)', 'Contained to single asset with no service dependencies']",0.95
CVE-2021-44906,21.8,P3,Medium,"['Critical CVSS score (9.8)', 'Prototype Pollution vulnerability type', 'Presence in CI/CD pipeline tool', 'Multiple vulnerabilities in same package']",0.9
CVE-2026-27459,14.3,P4,Low,"['High CVSS score (9.8 Critical) for buffer overflow', 'Development environment only (dev)', 'Very low exploit likelihood (EPSS 0.00026)', 'Non-deployed service (build dependencies only)', 'Internal network exposure']",0.95
CVE-2026-1615,15.8,P3,Medium,"['High CVSS score (9.8)', 'Arbitrary code injection vulnerability', 'Affects CI/CD deployment tool', 'Limited blast radius']",0.95
CVE-2025-15284,35.7,P1,Critical,"['High CVSS severity (8.7)', 'Internet-facing production assets', 'Mission-critical services affected', 'PII handling', 'Shared library dependency', 'Complex service interdependencies']",0.95
CVE-2025-69873,31.7,P2,High,"['High CVSS score (8.2) - Regular Expression Denial of Service', 'Widespread deployment across 15 assets (9 in production)', 'Multiple mission-critical services affected (push-api, push-registrar)', 'Confidential data handling on majority of affected assets', 'Service interdependencies create cascading failure risk']",0.85
